id;name;symbol;functional_description;exclusions;duties_and_responsibilities;person_responsible_for_service;hours_of_service;service_activating_cost;price_list_of_service;notes
1;a productivity;payment Elegant;auxiliary payment dwindle;południowy Adventure;Proactive Avon;arrogantly;Minivan Implementation;Shirt;idle;Tlen lumen Rover
2;Specialist;B2C Wagon shuttle;City;Izrael;revolutionize invoice;Secured Car;inflame hack sousaphone;copying Jazz educate;solutions Nuevo;Norwegian
3;calculate;moratorium;synthesize;małopolskie;consectetur convergence;Singapur primary;Belgia Computers;Bedfordshire Pułtusk invoice;północ Architect Shoes;reciprocal
4;sekunda connecting;zachód monitor;so unlike;Hybrid evolve;północ;calculate;Internal superstructure ASCII;until Stront;Rap zachód;północ Marshalla Ołów
5;trim strategic;handy kobieta;SUV;Practical PCI;Gabon watchful Hip;czerwony Convertible;Berkshire;Movies Configuration Architect;Sleek;bluetooth system kobieta
6;beautifully Bicycle;programming;Executive rondo Szczecin;ouch aw Home;copying północny Applications;Steel alive Fish;Bedfordshire encoding whittle;solution mężczyzna bypassing;kobieta Account invoice;Gasoline Bicycle Operations
7;transmitting;Sleek;mężczyzna;Account Tactics messy;visualize;Quetzal;workbench;Tłuszcz statement mężczyzna;Volkswagen Configuration;Modern 1080p Hat
8;Home Prazeodym;occaecati when;Electronic National;study circuit Paczków;compressing dolorem;Table Road;VGA;Rap Cadillac;vivaciously;Solutions function
9;bus Electric delectus;index Chicken;Clothing Manager Shirt;Account how;Tunezja proactive paradigms;mężczyzna Regional navigate;Bedfordshire;kissingly;Small południe;invoice Plastic
10;lubuskie mazowieckie;Toys doloribus;południe directional Jeep;which whoa;once;Maroko Cyclocross Cargo;Web;backing;opolskie zachód;strategize
