id;name;contract_number;s_la_parameters
1;fioletowy;Facilitator Granite;transmitter szosa
2;Gasoline podkarpackie interfaces;Organic;czarny bandwidth Assistant
3;Ind support standard;models ability Gorgeous;compress
4;Gambia Loan;mężczyzna optical;Principal kobieta
5;zachód;Jazz compress;withdrawal
6;fioletowy;żółty;maximize Wooden
7;holistic application;Oriental huzzah;Metal static navigating
8;modi ogród południe;Ameryk Optimization;bluetooth Bronze Wooden
9;Elegant beżowy ogród;granatowy Gloves pomorskie;Direct Cotton Security
10;Wolfram kilogram;kilogram Kraków neatly;wschód
