id;price;description;valuation_number;payment_type;start_date;period_of_provision_of_service_in_months;type_of_period_of_provision_of_service;end_date;status
1;16002;Klasyczna;Twardowski Orchestrator optical;MONTHLY;2023-07-10T02:00:21;40736;Ren;2023-07-09T11:23:03;ACTIVE
2;54927;Cotton infomediaries żółty;Passenger;DISPOSABLE;2023-07-09T16:35:16;41508;Chicken generating Cyna;2023-07-09T20:28:45;NOT_ACTIVE
3;66129;hence;niuton channels 5th;MONTHLY;2023-07-09T19:14:12;90758;Realigned Avon;2023-07-10T05:14:46;NOT_ACTIVE
4;59260;zachodniopomorskie Berkshire Coupe;pomorskie;MONTHLY;2023-07-09T09:55:59;14770;Lek podkarpackie Shirt;2023-07-09T23:06:06;NOT_ACTIVE
5;12396;withdrawal Luxurious animi;interface squabble;MONTHLY;2023-07-09T12:46:36;82924;encoding copy;2023-07-10T06:00:37;NOT_ACTIVE
6;80652;Customer sexy Lead;Cer Zloty briefs;MONTHLY;2023-07-09T23:02:59;20212;kulomb;2023-07-10T07:32:01;ACTIVE
7;54584;Borders czarny zachód;om International bus;DISPOSABLE;2023-07-09T16:18:34;68777;Berkshire żółty Bentley;2023-07-09T20:40:51;NOT_ACTIVE
8;55938;Fresh Lantan;Metal Shoes bluetooth;DISPOSABLE;2023-07-09T21:18:22;82024;geez rich;2023-07-09T23:46:57;ACTIVE
9;61699;Computer;Niob Gasoline czerwony;MONTHLY;2023-07-10T01:25:56;23583;harness Hybrid;2023-07-10T06:32:29;NOT_ACTIVE
10;62033;Future matrix;primary whenever Lead;DISPOSABLE;2023-07-09T12:14:31;57069;implementation deposit;2023-07-09T18:53:48;NOT_ACTIVE
